                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.61609,                 0.8247,                0.41652,                0.93505,                0.80642,                0.73009,                 0.7429,                0.52662,                0.76274,                0.69842,                0.69681,                0.44568,                0.62355,                0.90174,                0.41974,                 0.8715,              0.0081982,              0.0081982,              0.0081982
                     93,                0.61153,                0.84043,                 0.4191,                0.93289,                0.86578,                0.72022,                0.76509,                0.55279,                0.81676,                0.68461,                0.71842,                0.45848,                0.63274,                 0.9026,                0.41889,                0.88376,              0.0081784,              0.0081784,              0.0081784
                     94,                0.59957,                0.80018,                0.40683,                0.93157,                0.85438,                0.70012,                 0.7528,                0.53921,                0.81868,                0.67346,                0.70848,                0.43663,                0.65509,                0.90001,                0.40164,                0.88659,              0.0081586,              0.0081586,              0.0081586
                     95,                0.60747,                0.81668,                0.40806,                0.93634,                0.83973,                 0.7496,                0.74509,                0.52768,                0.77722,                0.70635,                0.69545,                0.44523,                0.64016,                0.87598,                 0.4281,                0.88317,              0.0081388,              0.0081388,              0.0081388
                     96,                 0.6061,                0.82817,                0.41275,                0.92775,                0.80463,                0.72208,                0.72703,                0.53272,                0.81714,                0.68534,                0.70092,                0.45022,                0.62929,                0.88508,                0.46178,                0.87888,               0.008119,               0.008119,               0.008119
                     97,                0.59654,                 0.8048,                0.40295,                 0.9318,                0.82408,                0.72522,                0.76122,                0.54386,                0.78094,                0.69275,                0.70954,                0.45929,                0.62995,                0.87167,                 0.4105,                0.87566,              0.0080992,              0.0080992,              0.0080992
                     98,                0.59392,                0.80302,                0.40924,                0.92684,                0.81354,                0.77419,                0.74625,                0.54037,                0.76119,                 0.7197,                 0.7008,                0.46163,                0.63165,                0.87975,                0.42185,                0.87685,              0.0080794,              0.0080794,              0.0080794
                     99,                0.60623,                0.81327,                0.41126,                0.93971,                0.82129,                0.74678,                0.76095,                 0.5461,                0.83462,                 0.7081,                0.73266,                0.45544,                0.63167,                0.85433,                0.41154,                0.87507,              0.0080596,              0.0080596,              0.0080596
                    100,                0.60068,                0.83043,                0.40687,                0.92533,                0.83993,                0.71307,                0.72776,                0.52925,                0.81784,                 0.7015,                0.70484,                0.43784,                0.65254,                0.90078,                  0.501,                0.87743,              0.0080398,              0.0080398,              0.0080398
                    101,                 0.6052,                0.81765,                0.40648,                0.93621,                0.84215,                0.74108,                 0.7401,                0.52953,                0.79121,                0.71121,                0.70238,                0.45011,                0.62868,                 0.8927,                0.43461,                0.87191,                0.00802,                0.00802,                0.00802
                    102,                0.60025,                0.81239,                0.40736,                0.92903,                0.82667,                0.72858,                0.75367,                0.53713,                0.74306,                0.69388,                0.70053,                 0.4459,                0.63669,                0.88954,                0.42256,                0.88586,              0.0080002,              0.0080002,              0.0080002
